key_size,key_generation_time,encrypt_time,sign_sha1_time,decrypt_time,verify_time
1024,627867,2113,42324,2504,0
1024,317462,0,996,0,0
1024,270880,997,6597,2270,0
1024,639972,0,6488,1670,999
1024,677619,996,8700,3038,0
1024,868355,0,7635,1699,999
1024,578940,0,2026,6969,0
1024,295347,0,7161,2538,0
1024,263996,0,51226,34740,7947
1024,336664,0,8102,2397,0
1074,339949,0,7833,2188,0
1074,258545,0,7075,2283,0
1074,187263,0,8078,3099,0
1074,3096448,3500,6053,0,0
1074,1023879,0,7033,2082,0
1074,975622,0,8581,2852,0
1074,1212785,0,6746,3600,0
1074,100478,0,2653,2175,0
1074,391836,1896,9720,6286,0
1074,724229,399,42964,56089,0
1124,505469,0,6421,1590,105
1124,240640,0,6368,2663,0
1124,528559,339,6238,3027,0
1124,150856,0,6510,4209,990
1124,288596,1993,6815,3599,0
1124,149437,0,6246,1909,997
1124,348427,0,6784,2039,0
1124,351409,0,7495,2685,0
1124,1134305,0,6845,3344,0
1124,422580,2701,31875,14809,0
1174,894734,0,9303,4850,0
1174,629068,356,6194,1994,0
1174,1390650,325,8189,2416,0
1174,360296,0,6453,2407,0
1174,126100,0,7489,2385,0
1174,212243,996,2201,9634,993
1174,108212,365,8227,2780,0
1174,242999,397,7063,2225,0
1174,373166,0,6722,2170,0
1174,1052133,997,13519,3005,0
1224,495392,0,7889,2396,0
1224,317279,0,7410,2025,0
1224,181307,0,6565,2019,0
1224,503026,0,8021,4728,0
1224,261771,294,6374,2196,0
1224,645338,0,35967,2783,4437
1224,342305,990,16431,4150,555
1224,332185,398,6090,2690,0
1224,380857,1494,8377,3929,0
1224,996030,0,6586,2255,997
1274,225561,0,7967,3347,0
1274,370072,0,13200,3752,0
1274,59886,995,8289,2683,0
1274,676360,0,7999,3029,0
1274,245095,0,10216,3108,0
1274,191207,0,7904,5004,0
1274,575565,0,7306,2333,1112
1274,2474088,1085,6920,3525,0
1274,1415081,0,8783,2027,0
1274,678075,371,7342,8367,907
1324,228935,408,8067,2539,0
1324,1231986,0,7099,3579,0
1324,1354413,1066,11325,4273,0
1324,211306,0,10700,3079,0
1324,2182161,4905,6320,2425,0
1324,1052872,0,7167,2911,618
1324,350589,0,7254,3656,418
1324,1356832,0,7962,2575,0
1324,184774,0,7755,3692,0
1324,484065,0,7735,2853,0
1374,266044,0,8360,4081,0
1374,1330426,330,6798,3368,0
1374,330698,0,7463,3140,0
1374,1217039,4977,8219,1994,0
1374,634074,0,8185,2858,139
1374,156503,370,7190,3381,0
1374,1205826,0,7004,2417,0
1374,1111595,0,7782,3719,0
1374,166157,996,5230,13096,0
1374,216073,424,8439,2153,0
1424,1171205,0,7926,4275,0
1424,1139646,0,7684,2900,998
1424,750199,0,8492,3012,0
1424,680117,0,7649,2821,1001
1424,477798,0,8683,2157,0
1424,998907,438,8222,3544,0
1424,349184,0,8617,2787,0
1424,217497,0,7851,2992,0
1424,197401,0,7745,3019,0
1424,383429,0,9244,2993,0
1474,500960,8925,75203,11745,0
1474,1309926,50878,138073,17523,0
1474,437809,1117,19506,6113,0
1474,482849,303,11970,3352,0
1474,4143931,994,1608,12776,0
1474,1894438,0,9542,2991,0
1474,1596992,0,8112,3008,0
1474,387900,0,9551,4705,0
1474,312003,996,0,10810,0
1474,433575,0,90777,25696,986
1524,2233168,0,999,6518,2639
1524,290632,0,5829,9624,0
1524,708961,0,11563,3443,0
1524,426984,0,16785,2924,0
1524,372342,0,8520,0,0
1524,360183,995,6260,4085,0
1524,225296,0,14613,4612,2680
1524,1159693,0,3838,7961,0
1524,1191214,0,13236,0,0
1524,612459,0,14702,1505,0
1574,887082,998,11635,2028,965
1574,1428935,0,8043,4251,0
1574,123196,0,1026,6937,4942
1574,302922,0,5732,8098,0
1574,417096,0,15722,1927,2659
1574,412620,0,2152,6826,0
1574,689021,0,16696,1522,0
1574,867147,0,5845,10925,957
1574,214817,0,17682,2706,0
1574,637451,0,10071,996,0
1624,579880,0,6048,8032,0
1624,1120777,0,16411,1578,0
1624,129033,0,7256,3608,0
1624,990294,0,5212,10469,0
1624,1289290,0,9279,89667,736
1624,1868873,10930,1991,9802,0
