Iteration,TimeRegisterVoter (ms),Gas (Unit),Gas Cost (USD)
1,1005.456750035286, 1116202, 1.77253993802
2,913.4956249594688, 1096101, 1.74061934901
1,1006.8070839643478, 1116202, 1.77253993802
2,935.6763340234756, 1096101, 1.74061934901
1,1014.7145000100136, 1116202, 1.77253993802
2,985.6991659998894, 1096101, 1.74061934901
3,924.8052909970284, 1096078, 1.74058282478
4,925.689583003521, 1093065, 1.73579815065
5,1014.1359579563141, 1096055, 1.7405463005500001
6,951.4959580302238, 1093042, 1.73576162642
7,911.2523339986801, 1093019, 1.73572510219
8,915.1558749675751, 1090006, 1.7309404280599998
9,964.1227499842644, 1096032, 1.7405097763200001
10,954.0989999771118, 1092995, 1.73568698995
11,960.4269170165062, 1092984, 1.73566952184
12,909.7334579825401, 1089959, 1.7308657915899999
13,928.2501249909401, 1092973, 1.7356520537299998
14,968.7692080140114, 1089960, 1.7308673796
15,922.7479999661446, 1089937, 1.73083085537
16,901.4099580049515, 1086924, 1.7260461812399999
17,924.0615000128746, 1096009, 1.74047325209
18,968.4237920045853, 1092996, 1.73568857796
19,927.0773749947548, 1092973, 1.7356520537299998
20,906.6057920455933, 1089960, 1.7308673796
21,915.2290830016136, 1092950, 1.7356155295000002
22,942.4393330216408, 1089925, 1.73081179925
23,917.2159579992294, 1089914, 1.73079433114
24,927.536583006382, 1086901, 1.7260096570099999
25,920.5523329973221, 1092927, 1.73557900527
26,946.2594169974327, 1089914, 1.73079433114
27,908.8387079834938, 1089891, 1.7307578069099998
28,908.8180419802666, 1086878, 1.72597313278
29,894.8425419926643, 1089868, 1.7307212826799998
30,947.8110000491142, 1069755, 1.6987816375499998
31,916.6841670274734, 1069732, 1.6987451133200002
32,929.9797910451889, 1066719, 1.69396043919
33,918.9410420060158, 1078886, 1.71328175686
34,983.9635829925537, 1075873, 1.70849708273
35,957.8826670050621, 1075850, 1.7084605585
36,897.6732499599457, 1072837, 1.7036758843700002
37,908.354582965374, 1075815, 1.70840497815
38,930.2537080049515, 1072814, 1.7036393601400002
39,928.789332985878, 1072779, 1.70358377979
40,919.1294590234756, 1069778, 1.69881816178
41,908.9968749880791, 1075792, 1.70836845392
42,1024.2217079997063, 1072791, 1.70360283591
43,956.9071249961853, 1072768, 1.70356631168
44,945.9546250104904, 1069755, 1.6987816375499998
45,921.6183329820633, 1072745, 1.70352978745
46,970.8653340339661, 1069732, 1.6987451133200002
47,911.6669580340385, 1069709, 1.69870858909
48,930.2270829677582, 1066696, 1.69392391496
